plotID,datetime,SM_10,SM_20
AEG01,2009,NA,NA
AEG01,2010,34.39224,35.36567
AEG01,2011,NA,NA
AEG01,2012,NA,NA
AEG01,2013,NA,NA
AEG01,2014,NA,NA
AEG01,2015,NA,NA
AEG01,2016,24.10696,NA
AEG01,2017,NA,NA
AEG01,2018,22.97020,21.73633
AEG01,2019,27.85713,26.51254
AEG01,2020,NA,NA
AEG02,2009,NA,NA
AEG02,2010,NA,NA
AEG02,2011,NA,NA
AEG02,2012,NA,NA
AEG02,2013,43.25782,NA
AEG02,2014,41.82740,39.43121
AEG02,2015,34.61668,32.75928
AEG02,2016,NA,NA
AEG02,2017,NA,NA
AEG02,2018,28.34324,27.84366
AEG02,2019,34.42696,31.38110
AEG02,2020,NA,NA
AEG03,2009,NA,NA
AEG03,2010,48.30629,31.89133
AEG03,2011,44.50064,31.88248
AEG03,2012,43.58767,32.26600
AEG03,2013,45.02927,34.05462
AEG03,2014,43.87796,33.84895
AEG03,2015,37.22889,30.79757
AEG03,2016,NA,NA
AEG03,2017,39.10109,32.00539
AEG03,2018,31.47607,28.47610
AEG03,2019,40.92150,33.08644
AEG03,2020,NA,NA
AEG04,2009,NA,NA
AEG04,2010,NA,NA
AEG04,2011,44.79987,43.06188
AEG04,2012,43.81949,42.48101
AEG04,2013,48.28229,46.19088
AEG04,2014,48.18877,46.52240
AEG04,2015,42.50225,43.18581
AEG04,2016,40.65389,42.91787
AEG04,2017,40.85276,43.59947
AEG04,2018,34.36518,39.81068
AEG04,2019,38.67099,41.52832
AEG04,2020,NA,NA
AEG05,2009,NA,NA
AEG05,2010,47.53783,47.15576
AEG05,2011,44.92249,45.91233
AEG05,2012,41.27373,46.45662
AEG05,2013,47.04073,47.92823
AEG05,2014,46.24705,47.87979
AEG05,2015,40.54397,44.62701
AEG05,2016,39.72134,44.22806
AEG05,2017,41.57845,44.52244
AEG05,2018,33.85412,38.01506
AEG05,2019,37.04403,40.13151
AEG05,2020,NA,NA
AEG06,2009,NA,NA
AEG06,2010,34.26006,42.30836
AEG06,2011,31.63779,40.28123
AEG06,2012,33.45211,38.68408
AEG06,2013,40.74421,43.08908
AEG06,2014,39.78121,42.18176
AEG06,2015,NA,NA
AEG06,2016,34.20324,37.00405
AEG06,2017,NA,NA
AEG06,2018,29.89613,32.53723
AEG06,2019,33.96605,36.02215
AEG07,2009,NA,NA
AEG07,2010,35.15416,29.72845
AEG07,2011,33.21290,27.82005
AEG07,2012,34.64636,29.83328
AEG07,2013,NA,NA
AEG07,2014,35.09158,30.61809
AEG07,2015,33.28796,28.13479
AEG07,2016,31.92094,26.35877
AEG07,2017,33.40221,28.56834
AEG07,2018,28.41193,26.67417
AEG07,2019,32.01217,27.72327
AEG07,2020,NA,NA
AEG08,2008,NA,NA
AEG08,2009,NA,NA
AEG08,2010,39.10099,30.76362
AEG08,2011,NA,NA
AEG08,2012,40.98019,29.33916
AEG08,2013,42.98926,30.94368
AEG08,2014,NA,NA
AEG08,2015,37.13784,30.84316
AEG08,2016,31.56153,26.84331
AEG08,2017,31.99580,29.26197
AEG08,2018,23.28034,22.76873
AEG08,2019,30.58247,28.03914
AEG08,2020,NA,NA
AEG09,2009,NA,NA
AEG09,2010,44.31207,35.26272
AEG09,2011,NA,NA
AEG09,2012,41.11904,33.83751
AEG09,2013,NA,NA
AEG09,2014,43.22063,33.52684
AEG09,2015,37.12263,31.47103
AEG09,2016,31.70577,30.11288
AEG09,2017,34.02742,32.70056
AEG09,2018,NA,NA
AEG09,2019,NA,NA
AEG09,2020,NA,NA
AEG10,5887,NA,NA
AEG11,2009,NA,NA
AEG11,2010,42.74878,NA
AEG11,2011,NA,NA
AEG11,2012,39.92243,NA
AEG11,2013,25.52600,NA
AEG11,2014,NA,NA
AEG11,2015,39.84903,NA
AEG11,2016,38.50530,NA
AEG11,2017,39.70091,NA
AEG11,2018,NA,NA
AEG11,2019,NA,NA
AEG11,2020,NA,NA
AEG12,2009,NA,NA
AEG12,2010,42.25364,NA
AEG12,2011,38.97735,NA
AEG12,2012,34.90575,NA
AEG12,2013,NA,NA
AEG12,2014,33.65084,NA
AEG12,2015,36.31808,NA
AEG12,2016,34.10636,NA
AEG12,2017,35.33088,NA
AEG12,2018,29.69280,NA
AEG12,2019,NA,NA
AEG12,2020,NA,NA
AEG13,2009,NA,NA
AEG13,2010,NA,NA
AEG13,2011,NA,NA
AEG13,2012,NA,NA
AEG13,2013,39.91904,NA
AEG13,2014,42.29670,NA
AEG13,2015,34.36573,NA
AEG13,2016,36.33008,NA
AEG13,2017,36.90159,NA
AEG13,2018,NA,NA
AEG13,2019,35.70821,NA
AEG13,2020,NA,NA
AEG14,2009,NA,NA
AEG14,2010,38.37031,NA
AEG14,2011,NA,NA
AEG14,2012,34.52395,NA
AEG14,2013,NA,NA
AEG14,2014,28.31719,NA
AEG14,2015,25.62480,NA
AEG14,2016,29.30277,NA
AEG14,2017,34.86562,NA
AEG14,2018,30.00852,NA
AEG14,2019,NA,NA
AEG14,2020,NA,NA
AEG15,2009,NA,NA
AEG15,2010,45.66927,NA
AEG15,2011,45.26762,NA
AEG15,2012,NA,NA
AEG15,2013,NA,NA
AEG15,2014,NA,NA
AEG15,2015,NA,NA
AEG15,2016,NA,NA
AEG15,2017,44.47810,NA
AEG15,2018,37.51950,NA
AEG15,2019,NA,NA
AEG15,2020,NA,NA
AEG16,2009,NA,NA
AEG16,2010,NA,NA
AEG16,2011,35.43232,NA
AEG16,2012,28.79525,NA
AEG16,2013,33.36672,NA
AEG16,2014,35.51361,NA
AEG16,2015,32.04993,NA
AEG16,2016,38.13840,NA
AEG16,2017,35.19311,NA
AEG16,2018,NA,NA
AEG16,2019,38.83818,NA
AEG16,2020,NA,NA
AEG17,2009,NA,NA
AEG17,2010,44.09209,NA
AEG17,2011,NA,NA
AEG17,2012,40.59506,NA
AEG17,2013,43.14869,NA
AEG17,2014,42.54251,NA
AEG17,2015,40.24223,NA
AEG17,2016,40.39694,NA
AEG17,2017,41.44305,NA
AEG17,2018,31.73190,NA
AEG17,2019,36.02945,NA
AEG17,2020,NA,NA
AEG18,2009,NA,NA
AEG18,2010,43.25195,NA
AEG18,2011,43.19847,NA
AEG18,2012,42.46792,NA
AEG18,2013,44.98436,NA
AEG18,2014,NA,NA
AEG18,2015,33.68029,NA
